index,time,rmse,r2,mae,lat,lon,TREFMXAV_U,y_pred,member,year,feature,model
11,12,1.3309879302978516,0.9880517021560551,0.964891791343689,23.86421486266208,131.3826239881327,291.4363,291.4610595703125,17.999966729210254,2061_2070,CAM,xgboost_old
0,1,0.9796079397201538,0.9944605000296504,0.6486066579818726,23.86446665115366,131.38892353763788,290.39853,290.403076171875,17.999631747154226,2061_2070,CAM_loc,xgboost_old
1,2,0.9258337020874023,0.9946848996890049,0.6425408720970154,23.865337528381534,131.38557059136886,291.90912,291.88427734375,17.9995421170927,2061_2070,CAM_loc,xgboost_old
2,3,0.8941016793251038,0.9935428180026148,0.6421297192573547,23.864799395891325,131.3867322313723,294.97955,294.93365478515625,17.99998465041688,2061_2070,CAM_loc,xgboost_old
3,4,0.8946396708488464,0.9901922486590868,0.644771933555603,23.865404963440692,131.3845748164375,298.28503,298.2822265625,18.000252539015687,2061_2070,CAM_loc,xgboost_old
4,5,0.8446102738380432,0.9868462718551372,0.6096141934394836,23.864501127164917,131.38542408671734,301.0696,301.0469055175781,17.99993881470627,2061_2070,CAM_loc,xgboost_old
5,6,0.7851489782333374,0.9872147256718155,0.5678534507751465,23.865231537639378,131.37796308677238,303.10886,303.14453125,18.00000889590092,2061_2070,CAM_loc,xgboost_old
6,7,0.7421082854270935,0.9886331750475942,0.5342554450035095,23.86685077561385,131.37823100227084,304.29996,304.3363342285156,18.000134278379573,2061_2070,CAM_loc,xgboost_old
7,8,0.7410601377487183,0.9875914515462102,0.5317252278327942,23.864293905383438,131.3879061763918,304.04736,304.0469055175781,18.00010156054273,2061_2070,CAM_loc,xgboost_old
8,9,0.7773412466049194,0.9860486238645113,0.5554830431938171,23.865265918822317,131.38317252449212,301.77435,301.7699279785156,18.0003450226233,2061_2070,CAM_loc,xgboost_old
9,10,0.8124318718910217,0.9900464786146438,0.5823612809181213,23.865466697557512,131.38001955421123,298.3874,298.37713623046875,17.99992700757009,2061_2070,CAM_loc,xgboost_old
10,11,0.836999773979187,0.9933000559889471,0.597634494304657,23.864675855552175,131.38701747927504,294.6161,294.6260070800781,18.000146616392605,2061_2070,CAM_loc,xgboost_old
11,12,0.8945797085762024,0.9946024685512745,0.616796612739563,23.86421486266208,131.3826239881327,291.4363,291.45977783203125,17.999966729210254,2061_2070,CAM_loc,xgboost_old
0,1,1.0157641172409058,0.9940440337106785,0.6668776273727417,23.86446665115366,131.38892353763788,290.39853,290.4016418457031,17.999631747154226,2061_2070,CAM_surf,xgboost_old
1,2,0.9636772274971008,0.9942415218865891,0.6642453074455261,23.865337528381534,131.38557059136886,291.90912,291.89398193359375,17.9995421170927,2061_2070,CAM_surf,xgboost_old
2,3,0.9332103133201599,0.9929655657212897,0.66648268699646,23.864799395891325,131.3867322313723,294.97955,294.94268798828125,17.99998465041688,2061_2070,CAM_surf,xgboost_old
3,4,0.9364368915557861,0.9892544413380562,0.67154461145401,23.865404963440692,131.3845748164375,298.28503,298.2886657714844,18.000252539015687,2061_2070,CAM_surf,xgboost_old
4,5,0.88200843334198,0.9856555990563506,0.6341903805732727,23.864501127164917,131.38542408671734,301.0696,301.0491943359375,17.99993881470627,2061_2070,CAM_surf,xgboost_old
5,6,0.8158609867095947,0.9861949281615247,0.5879167914390564,23.865231537639378,131.37796308677238,303.10886,303.1466369628906,18.00000889590092,2061_2070,CAM_surf,xgboost_old
6,7,0.7721279263496399,0.9876949260787469,0.5527362823486328,23.86685077561385,131.37823100227084,304.29996,304.334228515625,18.000134278379573,2061_2070,CAM_surf,xgboost_old
7,8,0.7815621495246887,0.9861980407121222,0.55539870262146,23.864293905383438,131.3879061763918,304.04736,304.0423278808594,18.00010156054273,2061_2070,CAM_surf,xgboost_old
8,9,0.8282466530799866,0.9841615280396888,0.5858977437019348,23.865265918822317,131.38317252449212,301.77435,301.76287841796875,18.0003450226233,2061_2070,CAM_surf,xgboost_old
